player,goals,assists,saves,demos inflicted,demos taken
Population Avg,1.06,0.5,1.03,0.52,0.52
SquishyMuffinz,2.13,0.95,1.37,0.74,0.5
Kronovi,2.17,0.86,1.55,0.75,0.57
Kaydop,1.84,0.78,2.37,0.81,0.77
Rizzo,1.27,0.84,1.45,0.74,0.6
JKnaps,1.52,1,1.25,0.65,0.63
Markydooda,2.47,0.61,1.96,0.52,0.64
Gimmick,1.49,0.72,1.45,0.54,0.44
Torment,1.47,0.81,1.6,0.38,0.58
Lethamyr,1.87,0.77,1.38,0.52,0.55
Jesse,1.43,0.75,2.28,0.94,0.87
Rocket Sledge,1.23,0.68,0.94,3.13,0.54
Applesauce,1.58,0.47,1.2,1.04,0.55
TealShift,0.78,0.51,0.89,0.82,0.5